,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
11,2/01/04,5,"$242,003","$-68,516","$798,446",30.31%,$62.29,$101.25,3885,9392,8,41.4%,-10.7%,Never Gonna Dance
12,2/08/04,6,"$319,997","$77,994","$798,446",40.08%,$61.74,$101.25,5183,9392,8,55.2%,13.8%,Never Gonna Dance
13,2/15/04,7,"$416,639","$96,642","$798,446",52.18%,$63.64,$101.25,6547,9392,8,69.7%,14.5%,Never Gonna Dance
7,10/20/85,42,"$7,500","$7,500",$0,,$0.00,$0.00,175,0,3,0.0%,0.0%,News
8,10/27/85,43,"$46,000","$38,500",$0,,$0.00,$0.00,1200,0,8,0.0%,0.0%,News
9,11/03/85,44,"$35,500","$-10,500",$0,,$0.00,$0.00,900,0,8,0.0%,0.0%,News
10,11/10/85,45,"$26,500","$-9,000",$0,,$0.00,$0.00,600,0,7,0.0%,0.0%,News
7,1/05/14,1,"$934,998","$-343,047","$1,152,010",81.16%,$100.49,$199.00,9304,9480,8,98.1%,-2.8%,Newsies
8,1/12/14,2,"$722,110","$-212,888","$998,592",72.31%,$83.69,$199.00,8628,9480,8,91.0%,-7.1%,Newsies
9,1/19/14,3,"$717,531","$-4,579","$1,005,474",71.36%,$88.47,$199.00,8110,9480,8,85.5%,-5.5%,Newsies
10,1/26/14,4,"$687,813","$-29,718","$991,710",69.36%,$83.28,$199.00,8259,9480,8,87.1%,1.6%,Newsies
11,2/02/14,5,"$568,494","$-119,319","$991,710",57.32%,$74.04,$199.00,7678,9480,8,81.0%,-6.1%,Newsies
12,2/09/14,6,"$602,699","$34,205","$975,107",61.81%,$78.30,$199.00,7697,9480,8,81.2%,0.2%,Newsies
13,2/16/14,7,"$748,187","$145,488","$1,005,474",74.41%,$83.97,$199.00,8910,9480,8,94.0%,12.8%,Newsies
14,2/23/14,8,"$780,736","$32,549","$1,022,077",76.39%,$85.79,$199.00,9101,9480,8,96.0%,2.0%,Newsies
15,3/02/14,9,"$641,338","$-139,398","$975,107",65.77%,$76.09,$199.00,8429,9480,8,88.9%,-7.1%,Newsies
16,3/09/14,10,"$648,357","$7,019","$991,710",65.38%,$75.72,$199.00,8563,9480,8,90.3%,1.4%,Newsies
17,3/16/14,11,"$792,166","$143,809","$1,048,401",75.56%,$86.92,$199.00,9114,9480,8,96.1%,5.8%,Newsies
18,3/23/14,12,"$795,046","$2,880","$1,028,958",77.27%,$84.72,$199.00,9384,9480,8,99.0%,2.9%,Newsies
19,3/30/14,13,"$798,338","$3,292","$973,116",82.04%,$85.54,$199.00,9333,9480,8,98.4%,-0.6%,Newsies
20,4/06/14,14,"$743,632","$-54,706","$941,238",79.01%,$84.55,$199.00,8795,9480,8,92.8%,-5.6%,Newsies
21,4/13/14,15,"$744,353",$721,"$941,238",79.08%,$85.55,$199.00,8701,9480,8,91.8%,-1.0%,Newsies
22,4/20/14,16,"$1,069,367","$325,014","$1,238,329",86.36%,$99.42,$199.00,10756,10665,9,100.9%,9.1%,Newsies
23,4/27/14,17,"$812,665","$-256,702","$1,056,862",76.89%,$88.03,$199.00,9232,9480,8,97.4%,-3.5%,Newsies
24,5/04/14,18,"$576,874","$-235,791","$948,214",60.84%,$71.77,$199.00,8038,9480,8,84.8%,-12.6%,Newsies
25,5/11/14,19,"$592,716","$15,842","$916,336",64.68%,$72.89,$199.00,8132,9480,8,85.8%,1.0%,Newsies
26,5/18/14,20,"$588,306","$-4,410","$948,214",62.04%,$72.77,$199.00,8084,9480,8,85.3%,-0.5%,Newsies
27,5/25/14,21,"$647,526","$59,220","$999,144",64.81%,$71.06,$199.00,9113,9480,8,96.1%,10.8%,Newsies
28,6/01/14,22,"$627,670","$-19,856","$965,202",65.03%,$73.21,$199.00,8573,9480,8,90.4%,-5.7%,Newsies
29,6/08/14,23,"$636,215","$8,545","$980,092",64.91%,$74.78,$199.00,8508,9480,8,89.7%,-0.7%,Newsies
30,6/15/14,24,"$770,524","$134,309","$1,049,886",73.39%,$84.98,$199.00,9067,9480,8,95.6%,5.9%,Newsies
31,6/22/14,25,"$799,894","$29,370","$1,063,838",75.19%,$85.10,$199.00,9400,9480,8,99.2%,3.6%,Newsies
32,6/29/14,26,"$793,740","$-6,154","$1,075,914",73.77%,$86.19,$199.00,9209,9480,8,97.1%,-2.1%,Newsies
33,7/06/14,27,"$699,637","$-94,103","$1,063,838",65.77%,$80.32,$199.00,8711,9480,8,91.9%,-5.2%,Newsies
34,7/13/14,28,"$745,988","$46,351","$1,095,930",68.07%,$80.45,$199.00,9273,9480,8,97.8%,5.9%,Newsies
35,7/20/14,29,"$862,977","$116,989","$1,083,202",79.67%,$92.21,$199.00,9359,9480,8,98.7%,0.9%,Newsies
36,7/27/14,30,"$896,763","$33,786","$1,106,990",81.01%,$94.79,$199.00,9461,9480,8,99.8%,1.1%,Newsies
37,8/03/14,31,"$919,050","$22,287","$1,098,188",83.69%,$98.94,$199.00,9289,9480,8,98.0%,-1.8%,Newsies
38,8/10/14,32,"$929,159","$10,109","$1,110,082",83.70%,$100.50,$199.00,9245,9480,8,97.5%,-0.5%,Newsies
39,8/17/14,33,"$966,603","$37,444","$1,067,324",90.56%,$101.91,$199.00,9485,9480,8,100.1%,2.6%,Newsies
40,8/24/14,34,"$878,556","$-88,047","$1,061,580",82.76%,$94.62,$199.00,9285,9480,8,97.9%,-2.2%,Newsies
7,2/21/10,8,"$102,609","$102,609","$454,300",22.59%,$31.88,$200.00,3219,4123,7,78.1%,0.0%,Next Fall
8,2/28/10,9,"$99,307","$-3,302","$454,300",21.86%,$39.82,$200.00,2494,4123,7,60.5%,60.5%,Next Fall
9,3/07/10,10,"$110,010","$10,703","$519,200",21.19%,$31.05,$225.00,3543,4712,8,75.2%,14.7%,Next Fall
10,3/14/10,11,"$109,638",$-372,"$519,200",21.12%,$32.05,$225.00,3421,4712,8,72.6%,-2.6%,Next Fall
11,3/21/10,12,"$166,259","$56,621","$519,200",32.02%,$57.17,$225.00,2908,4712,8,61.7%,-10.9%,Next Fall
12,3/28/10,13,"$181,904","$15,645","$519,200",35.04%,$60.13,$225.00,3025,4712,8,64.2%,2.5%,Next Fall
13,4/04/10,14,"$191,500","$9,596","$519,200",36.88%,$62.75,$225.00,3052,4712,8,64.8%,0.6%,Next Fall
14,4/11/10,15,"$168,304","$-23,196","$519,200",32.42%,$64.14,$225.00,2624,4712,8,55.7%,-9.1%,Next Fall
15,4/18/10,16,"$165,164","$-3,140","$519,200",31.81%,$58.99,$225.00,2800,4712,8,59.4%,3.7%,Next Fall
16,4/25/10,17,"$167,083","$1,919","$519,200",32.18%,$62.79,$225.00,2661,4712,8,56.5%,-2.9%,Next Fall
17,5/02/10,18,"$152,391","$-14,692","$519,200",29.35%,$61.75,$225.00,2468,4712,8,52.4%,-4.1%,Next Fall
18,5/09/10,19,"$132,749","$-19,642","$519,200",25.57%,$51.20,$225.00,2593,4712,8,55.0%,2.6%,Next Fall
19,5/16/10,20,"$152,021","$19,272","$519,200",29.28%,$61.10,$225.00,2488,4712,8,52.8%,-2.2%,Next Fall
20,5/23/10,21,"$150,982","$-1,039","$519,200",29.08%,$59.05,$225.00,2557,4712,8,54.3%,1.5%,Next Fall
21,5/30/10,22,"$141,409","$-9,573","$519,200",27.24%,$60.90,$225.00,2322,4712,8,49.3%,-5.0%,Next Fall
22,6/06/10,23,"$116,150","$-25,259","$519,200",22.37%,$47.12,$225.00,2465,4712,8,52.3%,3.0%,Next Fall
23,6/13/10,24,"$157,552","$41,402","$519,200",30.35%,$55.61,$225.00,2833,4712,8,60.1%,7.8%,Next Fall
24,6/20/10,25,"$154,207","$-3,345","$519,200",29.70%,$55.31,$225.00,2788,4712,8,59.2%,-0.9%,Next Fall
25,6/27/10,26,"$180,317","$26,110","$519,200",34.73%,$59.24,$225.00,3044,4712,8,64.6%,5.4%,Next Fall
26,7/04/10,27,"$257,274","$76,957","$519,200",49.55%,$60.58,$225.00,4247,4712,8,90.1%,25.5%,Next Fall
7,1/02/11,1,"$434,859","$122,813","$602,380",72.19%,$73.20,$200.00,5941,6176,8,96.2%,16.6%,Next To Normal
8,1/09/11,2,"$452,936","$18,077","$615,920",73.54%,$72.41,$200.00,6255,6176,8,101.3%,5.1%,Next To Normal
9,1/16/11,3,"$552,653","$99,717","$615,920",89.73%,$92.82,$200.00,5954,6176,8,96.4%,-4.9%,Next To Normal
7,1/06/13,1,"$796,705","$-468,441","$1,393,205",57.19%,$90.75,$248.50,8779,11512,8,76.3%,-10.4%,Nice Work If You Can Get It
8,1/13/13,2,"$679,850","$-116,855","$1,388,920",48.95%,$88.99,$248.50,7640,11512,8,66.4%,-9.9%,Nice Work If You Can Get It
9,1/20/13,3,"$757,128","$77,278","$1,388,920",54.51%,$97.52,$248.50,7764,11512,8,67.4%,1.0%,Nice Work If You Can Get It
10,1/27/13,4,"$725,287","$-31,841","$1,388,920",52.22%,$87.60,$248.50,8280,11512,8,71.9%,4.5%,Nice Work If You Can Get It
11,2/03/13,5,"$656,108","$-69,179","$1,388,920",47.24%,$82.90,$248.50,7914,11512,8,68.7%,-3.2%,Nice Work If You Can Get It
12,2/10/13,6,"$518,472","$-137,636","$1,388,920",37.33%,$83.29,$248.50,6225,11512,8,54.1%,-14.6%,Nice Work If You Can Get It
13,2/17/13,7,"$804,242","$285,770","$1,388,920",57.90%,$97.51,$248.50,8248,11512,8,71.6%,17.5%,Nice Work If You Can Get It
14,2/24/13,8,"$699,893","$-104,349","$1,388,920",50.39%,$89.73,$248.50,7800,11512,8,67.8%,-3.8%,Nice Work If You Can Get It
15,3/03/13,9,"$634,182","$-65,711","$1,388,920",45.66%,$83.94,$248.50,7555,11512,8,65.6%,-2.2%,Nice Work If You Can Get It
16,3/10/13,10,"$636,493","$2,311","$1,388,920",45.83%,$86.94,$248.50,7321,11512,8,63.6%,-2.0%,Nice Work If You Can Get It
17,3/17/13,11,"$650,966","$14,473","$1,388,920",46.87%,$78.55,$248.50,8287,11512,8,72.0%,8.4%,Nice Work If You Can Get It
18,3/24/13,12,"$658,957","$7,991","$1,388,920",47.44%,$86.04,$248.50,7659,11512,8,66.5%,-5.5%,Nice Work If You Can Get It
19,3/31/13,13,"$905,621","$246,664","$1,388,920",65.20%,$86.88,$248.50,10424,11512,8,90.5%,24.0%,Nice Work If You Can Get It
20,4/07/13,14,"$771,078","$-134,543","$1,388,920",55.52%,$84.47,$248.50,9128,11512,8,79.3%,-11.2%,Nice Work If You Can Get It
21,4/14/13,15,"$622,192","$-148,886","$1,388,920",44.80%,$89.67,$248.50,6939,11512,8,60.3%,-19.0%,Nice Work If You Can Get It
22,4/21/13,16,"$597,888","$-24,304","$1,388,920",43.05%,$84.96,$248.50,7037,11512,8,61.1%,0.8%,Nice Work If You Can Get It
23,4/28/13,17,"$583,867","$-14,021","$1,388,920",42.04%,$88.10,$248.50,6627,11512,8,57.6%,-3.5%,Nice Work If You Can Get It
24,5/05/13,18,"$568,037","$-15,830","$1,388,920",40.90%,$81.65,$248.50,6957,11512,8,60.4%,2.8%,Nice Work If You Can Get It
25,5/12/13,19,"$644,906","$76,869","$1,388,920",46.43%,$82.38,$248.50,7828,11512,8,68.0%,7.6%,Nice Work If You Can Get It
26,5/19/13,20,"$760,202","$115,296","$1,388,920",54.73%,$84.70,$248.50,8975,11512,8,78.0%,10.0%,Nice Work If You Can Get It
27,5/26/13,21,"$775,554","$15,352","$1,388,920",55.84%,$84.84,$248.50,9141,11512,8,79.4%,1.4%,Nice Work If You Can Get It
28,6/02/13,22,"$612,008","$-163,546","$1,388,920",44.06%,$81.63,$248.50,7497,11512,8,65.1%,-14.3%,Nice Work If You Can Get It
29,6/09/13,23,"$591,160","$-20,848","$1,385,680",42.66%,$81.08,$248.50,7291,11512,8,63.3%,-1.8%,Nice Work If You Can Get It
30,6/16/13,24,"$740,170","$149,010","$1,385,680",53.42%,$83.02,$248.50,8916,11512,8,77.4%,14.1%,Nice Work If You Can Get It
7,8/24/86,34,"$202,574","$202,574",$0,,$0.00,$0.00,2997,0,4,0.0%,0.0%,Nicholas Nickleby
8,8/31/86,35,"$181,780","$-20,794",$0,,$0.00,$0.00,2028,0,4,0.0%,0.0%,Nicholas Nickleby
9,9/07/86,36,"$165,295","$-16,485",$0,,$0.00,$0.00,1869,0,4,0.0%,0.0%,Nicholas Nickleby
10,9/14/86,37,"$231,047","$65,752",$0,,$0.00,$0.00,2522,0,4,0.0%,0.0%,Nicholas Nickleby
11,9/21/86,38,"$305,370","$74,323",$0,,$0.00,$0.00,3312,0,4,0.0%,0.0%,Nicholas Nickleby
12,9/28/86,39,"$332,052","$26,682",$0,,$0.00,$0.00,3532,0,4,0.0%,0.0%,Nicholas Nickleby
13,10/05/86,40,"$336,411","$4,359",$0,,$0.00,$0.00,3597,0,4,0.0%,0.0%,Nicholas Nickleby
14,10/12/86,41,"$381,769","$45,358",$0,,$0.00,$0.00,4076,0,4,0.0%,0.0%,Nicholas Nickleby
7,10/13/91,41,"$423,408","$423,408",$0,,$0.00,$0.00,12457,0,8,0.0%,0.0%,Nick And Nora
8,10/20/91,42,"$427,966","$4,558",$0,,$0.00,$0.00,12437,0,8,0.0%,0.0%,Nick And Nora
9,10/27/91,43,"$456,667","$28,701",$0,,$0.00,$0.00,12380,0,8,0.0%,0.0%,Nick And Nora
10,11/03/91,44,"$441,733","$-14,934",$0,,$0.00,$0.00,11907,0,8,0.0%,0.0%,Nick And Nora
11,11/10/91,45,"$430,107","$-11,626",$0,,$0.00,$0.00,11444,0,8,0.0%,0.0%,Nick And Nora
12,11/17/91,46,"$371,934","$-58,173",$0,,$0.00,$0.00,9208,0,8,0.0%,0.0%,Nick And Nora
13,11/24/91,47,"$327,949","$-43,985",$0,,$0.00,$0.00,8228,0,8,0.0%,0.0%,Nick And Nora
14,12/01/91,48,"$353,472","$25,523",$0,,$0.00,$0.00,10173,0,8,0.0%,0.0%,Nick And Nora
15,12/08/91,49,"$406,203","$52,731",$0,,$0.00,$0.00,10602,0,8,0.0%,0.0%,Nick And Nora
16,12/15/91,50,"$355,207","$-50,996",$0,,$0.00,$0.00,9532,0,8,0.0%,0.0%,Nick And Nora
7,2/07/99,6,"$113,381","$113,381","$304,966",37.18%,$28.06,$60.00,4041,7264,8,55.6%,0.0%,Night Must Fall
8,2/14/99,7,"$155,941","$42,560","$304,966",51.13%,$28.73,$60.00,5428,7264,8,74.7%,74.7%,Night Must Fall
9,2/21/99,8,"$146,936","$-9,005","$304,966",48.18%,$28.42,$60.00,5170,7264,8,71.2%,-3.5%,Night Must Fall
10,2/28/99,9,"$146,512",$-424,"$304,966",48.04%,$33.18,$60.00,4416,7264,8,60.8%,-10.4%,Night Must Fall
11,3/07/99,10,"$140,702","$-5,810","$304,966",46.14%,$30.24,$60.00,4653,7264,8,64.1%,3.3%,Night Must Fall
12,3/14/99,11,"$170,130","$29,428","$304,966",55.79%,$31.97,$60.00,5322,7264,8,73.3%,9.2%,Night Must Fall
13,3/21/99,12,"$165,523","$-4,607","$266,845",62.03%,$35.65,$60.00,4643,6356,7,73.0%,-0.3%,Night Must Fall
14,3/28/99,13,"$172,355","$6,832","$304,966",56.52%,$36.85,$60.00,4677,7264,8,64.4%,-8.6%,Night Must Fall
15,4/04/99,14,"$163,283","$-9,072","$304,966",53.54%,$38.65,$60.00,4225,7264,8,58.2%,-6.2%,Night Must Fall
16,4/11/99,15,"$202,934","$39,651","$304,966",66.54%,$39.89,$60.00,5087,7264,8,70.0%,11.8%,Night Must Fall
17,4/25/99,17,"$120,135","$-82,799","$301,055",39.90%,$44.48,$65.00,2701,4776,8,56.6%,-13.4%,Night Must Fall
18,5/02/99,18,"$110,554","$-9,581","$301,055",36.72%,$42.57,$65.00,2597,4776,8,54.4%,-2.2%,Night Must Fall
19,5/09/99,19,"$117,660","$7,106","$301,055",39.08%,$43.32,$65.00,2716,4776,8,56.9%,2.5%,Night Must Fall
20,5/16/99,20,"$134,470","$16,810","$301,055",44.67%,$42.39,$65.00,3172,4776,8,66.4%,9.5%,Night Must Fall
21,5/23/99,21,"$151,292","$16,822","$301,055",50.25%,$40.93,$65.00,3696,4776,8,77.4%,11.0%,Night Must Fall
22,5/30/99,22,"$147,277","$-4,015","$301,055",48.92%,$39.16,$65.00,3761,4776,8,78.7%,1.3%,Night Must Fall
23,6/06/99,23,"$106,133","$-41,144","$301,055",35.25%,$37.45,$65.00,2834,4776,8,59.3%,-19.4%,Night Must Fall
24,6/13/99,24,"$133,824","$27,691","$301,055",44.45%,$38.52,$65.00,3474,4776,8,72.7%,13.4%,Night Must Fall
25,6/20/99,25,"$153,529","$19,705","$301,055",51.00%,$37.23,$65.00,4124,4776,8,86.3%,13.6%,Night Must Fall
26,6/27/99,26,"$175,186","$21,657","$301,055",58.19%,$37.08,$65.00,4724,4776,8,98.9%,12.6%,Night Must Fall
7,1/09/94,2,"$41,120","$41,120",$0,,$0.00,$0.00,1311,0,3,0.0%,0.0%,No Man S Land
8,1/16/94,3,"$115,690","$74,570",$0,,$0.00,$0.00,3642,0,8,0.0%,0.0%,No Man S Land
9,1/23/94,4,"$110,926","$-4,764",$0,,$0.00,$0.00,3772,0,8,0.0%,0.0%,No Man S Land
10,1/30/94,5,"$100,687","$-10,239",$0,,$0.00,$0.00,3575,0,8,0.0%,0.0%,No Man S Land
11,2/06/94,6,"$117,089","$16,402",$0,,$0.00,$0.00,3826,0,8,0.0%,0.0%,No Man S Land
12,2/13/94,7,"$107,363","$-9,726",$0,,$0.00,$0.00,3455,0,8,0.0%,0.0%,No Man S Land
13,2/20/94,8,"$131,517","$24,154",$0,,$0.00,$0.00,3935,0,8,0.0%,0.0%,No Man S Land
14,2/27/94,9,"$127,823","$-3,694",$0,,$0.00,$0.00,3992,0,8,0.0%,0.0%,No Man S Land
15,3/06/94,10,"$133,391","$5,568",$0,,$0.00,$0.00,3956,0,8,0.0%,0.0%,No Man S Land
16,3/13/94,11,"$139,157","$5,766",$0,,$0.00,$0.00,3921,0,8,0.0%,0.0%,No Man S Land
17,3/20/94,12,"$153,376","$14,219",$0,,$0.00,$0.00,3790,0,8,0.0%,0.0%,No Man S Land
7,1/05/14,1,"$786,972","$-124,934","$890,423",88.38%,$97.94,$243.00,8035,8584,8,93.6%,-5.2%,No Man S Land Waiting For Godot
8,1/12/14,2,"$718,285","$-68,687","$887,540",80.93%,$91.21,$243.00,7875,8584,8,91.7%,-1.9%,No Man S Land Waiting For Godot
9,1/19/14,3,"$692,954","$-25,331","$887,540",78.08%,$97.89,$243.00,7079,8584,8,82.5%,-9.2%,No Man S Land Waiting For Godot
10,1/26/14,4,"$596,123","$-96,831","$887,540",67.17%,$90.61,$243.00,6579,8584,8,76.6%,-5.9%,No Man S Land Waiting For Godot
11,2/02/14,5,"$536,711","$-59,412","$887,540",60.47%,$84.69,$243.00,6337,8584,8,73.8%,-2.8%,No Man S Land Waiting For Godot
12,2/09/14,6,"$551,720","$15,009","$887,540",62.16%,$87.80,$243.00,6284,8584,8,73.2%,-0.6%,No Man S Land Waiting For Godot
13,2/16/14,7,"$606,324","$54,604","$887,540",68.32%,$92.65,$243.00,6544,8584,8,76.2%,3.0%,No Man S Land Waiting For Godot
14,2/23/14,8,"$555,256","$-51,068","$780,161",71.17%,$90.33,$243.00,6147,7511,7,81.8%,5.6%,No Man S Land Waiting For Godot
15,3/02/14,9,"$557,067","$1,811","$887,540",62.77%,$88.48,$243.00,6296,8584,8,73.3%,-8.5%,No Man S Land Waiting For Godot
16,3/09/14,10,"$525,313","$-31,754","$887,540",59.19%,$84.40,$243.00,6224,8584,8,72.5%,-0.8%,No Man S Land Waiting For Godot
17,3/16/14,11,"$589,820","$64,507","$887,540",66.46%,$83.90,$243.00,7030,8584,8,81.9%,9.4%,No Man S Land Waiting For Godot
18,3/23/14,12,"$647,289","$57,469","$893,306",72.46%,$87.60,$243.00,7389,8584,8,86.1%,4.2%,No Man S Land Waiting For Godot
19,3/30/14,13,"$782,396","$135,107","$893,306",87.58%,$94.42,$243.00,8286,8584,8,96.5%,10.4%,No Man S Land Waiting For Godot
7,1/03/16,1,"$438,491","$152,809","$652,720",67.18%,$78.95,$139.00,5554,5920,8,93.8%,12.6%,Noises Off
8,1/10/16,2,"$366,803","$-71,688","$652,720",56.20%,$64.59,$139.00,5679,5920,8,95.9%,2.1%,Noises Off
9,1/17/16,3,"$382,252","$15,449","$652,720",58.56%,$65.28,$149.00,5856,5920,8,98.9%,3.0%,Noises Off
10,1/24/16,4,"$300,106","$-82,146","$489,540",61.30%,$74.28,$149.00,4040,4440,6,91.0%,-7.9%,Noises Off
11,1/31/16,5,"$442,872","$142,766","$652,720",67.85%,$80.99,$149.00,5468,5920,8,92.4%,1.4%,Noises Off
12,2/07/16,6,"$445,927","$3,055","$652,720",68.32%,$80.32,$149.00,5552,5920,8,93.8%,1.4%,Noises Off
13,2/14/16,7,"$432,543","$-13,384","$652,720",66.27%,$78.43,$149.00,5515,5920,8,93.2%,-0.6%,Noises Off
14,2/21/16,8,"$508,885","$76,342","$652,720",77.96%,$87.95,$149.00,5786,5920,8,97.7%,4.5%,Noises Off
15,2/28/16,9,"$475,948","$-32,937","$652,720",72.92%,$83.69,$149.00,5687,5920,8,96.1%,-1.6%,Noises Off
16,3/06/16,10,"$495,948","$20,000","$652,720",75.98%,$83.72,$149.00,5924,5920,8,100.1%,4.0%,Noises Off
17,3/13/16,11,"$557,404","$61,456","$652,720",85.40%,$92.92,$149.00,5999,5920,8,101.3%,1.2%,Noises Off
7,1/06/85,1,"$145,917","$-49,329",$0,,$0.00,$0.00,5998,0,8,0.0%,0.0%,Noises Off 1984 1985
8,1/13/85,2,"$104,872","$-41,045",$0,,$0.00,$0.00,4372,0,8,0.0%,0.0%,Noises Off 1984 1985
9,1/20/85,3,"$97,041","$-7,831",$0,,$0.00,$0.00,4086,0,8,0.0%,0.0%,Noises Off 1984 1985
10,1/27/85,4,"$89,303","$-7,738",$0,,$0.00,$0.00,3749,0,8,0.0%,0.0%,Noises Off 1984 1985
11,2/03/85,5,"$91,375","$2,072",$0,,$0.00,$0.00,3901,0,8,0.0%,0.0%,Noises Off 1984 1985
12,2/10/85,6,"$81,454","$-9,921",$0,,$0.00,$0.00,3463,0,8,0.0%,0.0%,Noises Off 1984 1985
13,2/17/85,7,"$110,042","$28,588",$0,,$0.00,$0.00,4593,0,8,0.0%,0.0%,Noises Off 1984 1985
14,2/24/85,8,"$113,609","$3,567",$0,,$0.00,$0.00,5017,0,8,0.0%,0.0%,Noises Off 1984 1985
15,3/03/85,9,"$81,356","$-32,253",$0,,$0.00,$0.00,3645,0,8,0.0%,0.0%,Noises Off 1984 1985
16,3/10/85,10,"$99,432","$18,076",$0,,$0.00,$0.00,4378,0,8,0.0%,0.0%,Noises Off 1984 1985
17,3/17/85,11,"$114,269","$14,837",$0,,$0.00,$0.00,4994,0,8,0.0%,0.0%,Noises Off 1984 1985
18,3/24/85,12,"$128,432","$14,163",$0,,$0.00,$0.00,5711,0,8,0.0%,0.0%,Noises Off 1984 1985
19,3/31/85,13,"$116,504","$-11,928",$0,,$0.00,$0.00,5004,0,8,0.0%,0.0%,Noises Off 1984 1985
20,4/07/85,14,"$118,794","$2,290",$0,,$0.00,$0.00,5350,0,8,0.0%,0.0%,Noises Off 1984 1985
7,2/14/99,7,"$32,239","$32,239","$65,808",48.99%,$38.94,$65.00,828,1122,2,73.8%,0.0%,Not About Nightingales
8,2/21/99,8,"$84,999","$52,760","$263,232",32.29%,$35.99,$65.00,2362,4488,8,52.6%,52.6%,Not About Nightingales
9,2/28/99,9,"$101,430","$16,431","$263,232",38.53%,$43.93,$65.00,2309,4488,8,51.4%,-1.2%,Not About Nightingales
10,3/07/99,10,"$134,515","$33,085","$263,232",51.10%,$47.30,$65.00,2844,4488,8,63.4%,12.0%,Not About Nightingales
11,3/14/99,11,"$166,608","$32,093","$263,232",63.29%,$45.40,$65.00,3670,4488,8,81.8%,18.4%,Not About Nightingales
12,3/21/99,12,"$171,656","$5,048","$263,232",65.21%,$45.81,$65.00,3747,4488,8,83.5%,1.7%,Not About Nightingales
13,3/28/99,13,"$171,041",$-615,"$263,232",64.98%,$44.07,$65.00,3881,4488,8,86.5%,3.0%,Not About Nightingales
14,4/04/99,14,"$137,820","$-33,221","$263,232",52.36%,$42.71,$65.00,3227,4488,8,71.9%,-14.6%,Not About Nightingales
15,4/11/99,15,"$138,789",$969,"$263,232",52.73%,$38.72,$65.00,3584,4488,8,79.9%,8.0%,Not About Nightingales
16,4/18/99,16,"$143,174","$4,385","$263,232",54.39%,$42.97,$65.00,3332,4488,8,74.2%,-5.7%,Not About Nightingales
17,4/25/99,17,"$138,609","$-4,565","$263,232",52.66%,$42.65,$65.00,3250,4488,8,72.4%,-1.8%,Not About Nightingales
18,5/02/99,18,"$135,499","$-3,110","$263,232",51.48%,$42.65,$65.00,3177,4488,8,70.8%,-1.6%,Not About Nightingales
19,5/09/99,19,"$149,174","$13,675","$263,232",56.67%,$43.55,$65.00,3425,4488,8,76.3%,5.5%,Not About Nightingales
20,5/16/99,20,"$168,564","$19,390","$263,232",64.04%,$40.43,$65.00,4169,4488,8,92.9%,16.6%,Not About Nightingales
21,5/23/99,21,"$152,641","$-15,923","$263,232",57.99%,$38.78,$65.00,3936,4488,8,87.7%,-5.2%,Not About Nightingales
22,5/30/99,22,"$143,933","$-8,708","$263,232",54.68%,$38.76,$65.00,3713,4488,8,82.7%,-5.0%,Not About Nightingales
23,6/06/99,23,"$128,604","$-15,329","$263,232",48.86%,$38.99,$65.00,3298,4488,8,73.5%,-9.2%,Not About Nightingales
24,6/13/99,24,"$165,791","$37,187","$263,232",62.98%,$38.78,$65.00,4275,4488,8,95.3%,21.8%,Not About Nightingales
7,1/06/08,1,"$362,138","$-42,270","$687,133",52.70%,$58.55,$251.50,6185,8464,8,73.1%,8.2%,November
8,1/13/08,2,"$393,713","$31,575","$687,133",57.30%,$63.83,$251.50,6168,8464,8,72.9%,-0.2%,November
9,1/20/08,3,"$415,167","$21,454","$687,133",60.42%,$72.25,$251.50,5746,8464,8,67.9%,-5.0%,November
10,1/27/08,4,"$478,367","$63,200","$687,133",69.62%,$77.21,$251.50,6196,8464,8,73.2%,5.3%,November
11,2/03/08,5,"$424,198","$-54,169","$687,133",61.73%,$78.60,$251.50,5397,8464,8,63.8%,-9.4%,November
12,2/10/08,6,"$380,713","$-43,485","$687,133",55.41%,$76.01,$251.50,5009,8464,8,59.2%,-4.6%,November
13,2/17/08,7,"$446,566","$65,853","$687,133",64.99%,$78.58,$251.50,5683,8464,8,67.1%,7.9%,November
14,2/24/08,8,"$426,472","$-20,094","$705,408",60.46%,$73.33,$251.50,5816,8464,8,68.7%,1.6%,November
15,3/02/08,9,"$428,021","$1,549","$705,408",60.68%,$74.14,$251.50,5773,8464,8,68.2%,-0.5%,November
16,3/09/08,10,"$459,840","$31,819","$705,408",65.19%,$66.72,$251.50,6892,8464,8,81.4%,13.2%,November
17,3/16/08,11,"$503,678","$43,838","$705,408",71.40%,$70.58,$251.50,7136,8464,8,84.3%,2.9%,November
18,3/23/08,12,"$504,388",$710,"$705,408",71.50%,$70.63,$251.50,7141,8464,8,84.4%,0.1%,November
19,3/30/08,13,"$513,101","$8,713","$705,408",72.74%,$71.56,$251.50,7170,8464,8,84.7%,0.3%,November
20,4/06/08,14,"$400,243","$-112,858","$705,408",56.74%,$71.36,$251.50,5609,8464,8,66.3%,-18.4%,November
21,4/13/08,15,"$379,784","$-20,459","$705,408",53.84%,$73.72,$251.50,5152,8464,8,60.9%,-5.4%,November
